DataType,SortType,ArraySize,Threshold,Time_us
Random,Standard,500,0,18.6
Random,Hybrid,500,5,7.8
Random,Hybrid,500,10,5.2
Random,Hybrid,500,20,4.6
Random,Hybrid,500,30,3.8
Random,Hybrid,500,50,3.8
Random,Hybrid,500,100,4.4
Reversed,Standard,500,0,12.2
Reversed,Hybrid,500,5,5.2
Reversed,Hybrid,500,10,4
Reversed,Hybrid,500,20,7.4
Reversed,Hybrid,500,30,3
Reversed,Hybrid,500,50,4
Reversed,Hybrid,500,100,5.2
AlmostSorted,Standard,500,0,12.2
AlmostSorted,Hybrid,500,5,5.2
AlmostSorted,Hybrid,500,10,3
AlmostSorted,Hybrid,500,20,2.2
AlmostSorted,Hybrid,500,30,2
AlmostSorted,Hybrid,500,50,2
AlmostSorted,Hybrid,500,100,1
Random,Standard,1000,0,36.6
Random,Hybrid,1000,5,16.6
Random,Hybrid,1000,10,13.2
Random,Hybrid,1000,20,14.2
Random,Hybrid,1000,30,9.8
Random,Hybrid,1000,50,9.8
Random,Hybrid,1000,100,10.2
Reversed,Standard,1000,0,25.2
Reversed,Hybrid,1000,5,11.2
Reversed,Hybrid,1000,10,8.2
Reversed,Hybrid,1000,20,7.2
Reversed,Hybrid,1000,30,7
Reversed,Hybrid,1000,50,8.2
Reversed,Hybrid,1000,100,12
AlmostSorted,Standard,1000,0,25.8
AlmostSorted,Hybrid,1000,5,11.2
AlmostSorted,Hybrid,1000,10,7.6
AlmostSorted,Hybrid,1000,20,6
AlmostSorted,Hybrid,1000,30,6.2
AlmostSorted,Hybrid,1000,50,4.2
AlmostSorted,Hybrid,1000,100,3.2
Random,Standard,1500,0,57.2
Random,Hybrid,1500,5,29.6
Random,Hybrid,1500,10,22
Random,Hybrid,1500,20,19.6
Random,Hybrid,1500,30,16.4
Random,Hybrid,1500,50,16.8
Random,Hybrid,1500,100,20.6
Reversed,Standard,1500,0,39.2
Reversed,Hybrid,1500,5,21.8
Reversed,Hybrid,1500,10,15
Reversed,Hybrid,1500,20,12.2
Reversed,Hybrid,1500,30,12.2
Reversed,Hybrid,1500,50,17.8
Reversed,Hybrid,1500,100,40.8
AlmostSorted,Standard,1500,0,72.4
AlmostSorted,Hybrid,1500,5,33.8
AlmostSorted,Hybrid,1500,10,17.4
AlmostSorted,Hybrid,1500,20,18.8
AlmostSorted,Hybrid,1500,30,8.6
AlmostSorted,Hybrid,1500,50,7.2
AlmostSorted,Hybrid,1500,100,5.4
Random,Standard,2000,0,80.8
Random,Hybrid,2000,5,38
Random,Hybrid,2000,10,28.6
Random,Hybrid,2000,20,24.2
Random,Hybrid,2000,30,20.4
Random,Hybrid,2000,50,27.2
Random,Hybrid,2000,100,25
Reversed,Standard,2000,0,52.4
Reversed,Hybrid,2000,5,24.2
Reversed,Hybrid,2000,10,18.4
Reversed,Hybrid,2000,20,23.2
Reversed,Hybrid,2000,30,24.4
Reversed,Hybrid,2000,50,22.2
